index,MEDIA_PREC_ANUAL,Aridity Index,dias_s_chuv,latitude,longitude
82474,1945.8965517241377,1.1535922594317065,258.3571428571429,-4.328706,-41.721691
82476,1468.9433333333332,1.0064425074576477,246.54545454545456,-4.86722221,-43.35666666
82480,1029.79,1.0128586451100723,247.5,-4.2761111,-41.79444444
82487,1321.9199999999998,1.566471166054823,199.88888888888889,-4.26138888,-38.9311111
82493,548.66,0.5041739232526813,286.06666666666666,-4.85361111,-37.77722221
82533,2498.3035714285716,1.5994309660458654,170.6,-5.81777777,-61.29083333
82562,1855.3033333333337,1.0351676288583955,228.1578947368421,-5.36611111,-49.12527777
82564,1474.5600000000004,0.8991375946862138,237.1,-5.53638888,-47.47888888
82571,1136.2099999999998,0.7209993186414023,243.45454545454544,-5.50638888,-45.23722221
82578,1062.0533333333335,0.8512412414531969,257.4666666666667,-5.03472221,-42.80138888
82583,483.0466666666667,0.49823947309697747,282.9230769230769,-5.19055555,-40.6736111
82586,532.83,0.5272311750353059,277.92857142857144,-5.17305554,-39.28722221
82594,355.03,0.1641743537293725,304.3333333333333,-5.15103,-36.573131
82596,941.1206896551723,0.883064905921493,219.75,-5.65333333,-35.42583332
82598,1655.8851851851853,1.2443833529998203,193.7826086956522,-5.83722221,-35.20777777
82610,2258.5714285714284,1.715667000216965,200.4,-6.66166666,-69.86777777
82676,1286.5733333333335,0.7884480099565913,247.9090909090909,-6.03305554,-44.23333333
82678,932.5310344827586,0.5549972445838434,270.25,-6.76166666,-43.00333333
82683,1084.0366666666664,0.4517466064813153,287.8,-6.00638888,-40.29972221
82684,1067.7172413793105,0.46538758612399284,289.94444444444446,-7.85,-41.9
82686,1166.1321428571428,0.6424017836587472,276.6363636363636,-6.39638888,-39.26888888
82691,937.22,0.654407407707168,290.1818181818182,-6.12388888,-36.81194444
82693,588.2733333333333,0.4593891461598319,285.0909090909091,-6.42638888,-36.79138888
82696,1333.0235294117647,1.2945957655769664,188.0,-6.97555554,-35.71805554
